name,recipe_link,ingredients,category,prep-time,budget,review count,rating,difficulty,steps_count
La vraie tarte tropézienne,https://www.marmiton.org/recettes/recette_tarte-tropezienne_308765.aspx,"['sucre en poudre', 'beurre', 'sel', 'levure de boulanger', 'farine', 'oeufs', 'citron', 'sucre en grain', ""fleur d'oranger"", 'farine', 'sucre en poudre', 'vanille', 'lait', ""jaunes d'oeuf"", 'sucre glace', 'crème fraîche']",tarte,0,bon marché,38,3.7,moyenne,21
Îles flottantes,https://www.marmiton.org/recettes/recette_iles-flottantes_22034.aspx,"['sel', 'sucre en poudre', 'vanille', 'oeufs', 'lait', 'amandes effilées', 'sucre en morceaux', 'citron']",île flottante,0,moyen,154,4.5,facile,12
Muffins très simples,https://www.marmiton.org/recettes/recette_muffins-tres-simples_166385.aspx,"['extrait de vanille', 'sel', 'levure chimique', 'beurre', 'sucre', 'farine', 'oeufs', 'lait', 'sucre vanillé', 'cannelle', 'eau']",gâteau,0,bon marché,312,4.5,très facile,4
Tarte amandine aux poires,https://www.marmiton.org/recettes/recette_tarte-amandine-aux-poires_14195.aspx,"['farine', 'sucre', 'beurre', 'pâte brisée', 'poire', 'oeufs', 'amandes', 'alcool de poire']",tarte,0,bon marché,408,4.7,très facile,4
Pommes au four,https://www.marmiton.org/recettes/recette_pommes-au-four_20545.aspx,"['sucre en poudre', 'pommes']",pomme au four,0,bon marché,63,4.2,très facile,6
Gâteau roulé à la confiture,https://www.marmiton.org/recettes/recette_gateau-roule-a-la-confiture_17005.aspx,"['sucre glace', 'beurre', 'levure', 'farine', 'sucre en poudre', 'oeufs', 'sucre vanillé', 'gelée']",gâteau,0,bon marché,630,4.5,facile,9
Pastéis de nata (Portugal),https://www.marmiton.org/recettes/recette_pasteis-de-nata-portugal_12614.aspx,"['pâte feuilletée', 'sel', 'farine', 'sucre', ""jaunes d'oeuf"", 'lait', 'citron']",flan,0,moyen,67,4.3,facile,7
Tarte aux myrtilles ultra simple,https://www.marmiton.org/recettes/recette_tarte-aux-myrtilles-ultra-simple_232423.aspx,"['sucre glace', 'beurre', 'farine', 'oeufs', 'sucre en poudre', 'myrtilles']",tarte,0,bon marché,14,4.4,facile,6
Tiramisu aux fraises,https://www.marmiton.org/recettes/recette_tiramisu-aux-fraises_14039.aspx,"['biscuits à la cuillère', 'sucre', 'fraises', 'citron', 'oeufs', 'mascarpone']",tiramisu,0,bon marché,574,4.5,facile,5
Gâteau à l'ananas facile,https://www.marmiton.org/recettes/recette_gateau-a-l-ananas-facile_16263.aspx,"['levure', 'rhum', 'farine', 'beurre', 'sucre en poudre', 'ananas', 'oeufs', 'citron', 'sucre', 'eau']",gâteau,0,moyen,401,4.6,très facile,6
